employee_id,store_id,employee_name,role,gender,monthly_salary_inr,joining_date,employment_status
100205,6145,Advik Sidhu,Quality Checker,m,19573.0,2023-08-02,On Leave
100206,6040,Balendra Dugar,delivery rider,m,17932.0,2025-07-01,active
100207,6145,Faras Prakash,delivery rider,Male,56425.0,2026-05-05,Resigned
100208,6008,Sanya Chatterjee,Store Manager,F,43317.0,03-09-2026,Resigned
100209,6107,Anthony Borde,Quality Checker,m,42925.0,02/05/2026,Active
100210,6029,Ekantika Kaur,Store Manager,Male,26290.0,2024-06-09,On Leave
100211,6142,Luke Narula,PICKER,F,59660.0,2024-07-16,Resigned
100212,6021,Pranit Seth,delivery rider,,42804.0,2023-07-08,Resigned
100213,6132,Reva Dixit,Picker,Female,39687.0,2024-11-04,Active
100214,6122,Yatin Dugal,Picker,F,54552.0,2023-09-12,Active
100215,6004,Gaurika Ganesh,Store Manager,Female,60361.0,2022-09-25,Active
100216,6052,Eesha Shan,Picker,f,25010.0,2023-09-03,RESIGNED
100217,6003,Mitesh Varghese,Inventory Associate,M,47631.0,2026-03-30,active
100218,6012,Vansha Mangat,Quality Checker,M,35454.0,10/11/2022,Active
100219,6050,Janya Sankaran,PICKER,M,52100.0,2023-02-09,On Leave
100220,6019,Wazir Chatterjee,Inventory Associate,F,33007.0,2026-08-05,RESIGNED
100221,7002,Nicholas Bhandari,Inventory Associate,m,63901.0,2024-03-11,Active
100222,6088,Maanas Babu,Packer,Female,16073.0,17/12/2025,Resigned
100223,6101,Yasti Dey,PICKER,F,43398.0,2024-05-25,Resigned
100224,6020,Quincy Parsa,Quality Checker,Male,34398.0,2024-05-27,Active
100225,6044,Tejas Malhotra,Quality Checker,f,51817.0,2024-05-15,Active
100226,6086,Pranit Vig,PICKER,Male,30301.0,2024-11-30,Active
100227,6038,Ronith Buch,Packer,Male,18160.0,2025-09-17,Resigned
100228,6136,Anusha Gill,Packer,,50741.0,12/12/2025,RESIGNED
100229,6147,Darika Jain,Picker,Male,29600.0,2023-06-16,active
100230,6078,Christopher Vasa,Quality Checker,f,55629.0,2022-09-02,active
100231,6086,Baghyawati Tailor,Delivery Rider,f,35181.0,2025-11-15,Resigned
100232,6063,Vansha Deol,Store Manager,Male,,2022-12-28,On Leave
100233,6115,Yuvraj Grewal,delivery rider,m,25070.0,02-13-2026,Active
100234,6142,Balhaar Gade,Quality Checker,M,52230.0,2024-11-18,Active
100235,6091,Ishani Venkatesh,PICKER,Male,59238.0,2025-06-09,Active
100236,6082,Jai Parikh,Packer,Male,,05-11-2026,Active
100237,6056,Lakshmi Bhat,Delivery Rider,Female,53511.0,2025-06-28,Active
100238,6062,Warda Sekhon,Delivery Rider,F,19197.0,2023-10-18,Resigned
100239,6035,Ansh Kohli,Delivery Rider,F,56105.0,2024-09-06,Active
100240,6083,Qabil Ganesh,Quality Checker,,45871.0,2026-07-02,Active
100241,6015,Ayushman Bahl,delivery rider,M,54159.0,2023-01-16,Resigned
100242,6066,Advika Badami,PICKER,,34767.0,2023-01-06,Active
100243,6085,William Sawhney,Packer,,27794.0,2025-12-24,Active
100244,6093,Praneel Bath,delivery rider,Male,52567.0,01-16-2023,Active
100245,6067,Wakeeta Tella,PICKER,M,34267.0,2023-09-21,active
100246,6144,Jairaj Dara,Inventory Associate,Male,31952.0,04-Sep-2025,Active
100247,6093,Utkarsh Karan,Packer,f,63583.0,2024-04-02,Resigned
100248,6032,Mekhala Gala,Delivery Rider,m,50388.0,2023-03-22,Resigned
100249,6039,Lopa Salvi,Packer,f,24622.0,2026-06-04,active
100250,6114,Meghana Ben,PICKER,F,36559.0,2025-01-07,Active
100251,6007,Nandini Khosla,Picker,f,18288.0,2025-09-27,active
100252,6016,Ekani Rattan,Store Manager,m,38613.0,2025-12-26,Active
100253,6065,Ekta Varughese,Delivery Rider,Male,29848.0,2026-01-08,RESIGNED
100254,6072,Zaid Sami,Inventory Associate,Female,51324.0,2023-03-21,RESIGNED
100255,6035,Janya Chopra,Inventory Associate,Male,14257.0,2025-04-13,Active
100256,6116,Ekta Sant,Store Manager,,27750.0,2024-10-02,Active
100257,6047,Umang Dewan,delivery rider,F,33503.0,2023-06-08,Active
100258,6035,Sudiksha Batra,Inventory Associate,F,37047.0,24-Apr-2024,Active
100259,6087,Bakhshi Lata,delivery rider,Male,16157.0,2025-11-13,active
100260,6010,Balendra Chaudhry,Packer,m,51673.0,2026-04-21,Active
100261,6017,Radha Khalsa,Picker,M,22900.0,20/08/2023,active
100262,6038,Isaiah Mody,Picker,m,46523.0,08/06/2026,RESIGNED
100263,6019,Jai Bhasin,Inventory Associate,f,31343.0,2024-01-08,Active
100264,6013,Frado Shukla,delivery rider,m,,2025-01-03,active
100265,6140,Ria Dasgupta,Inventory Associate,m,40894.0,2024-12-28,active
100266,6103,Niharika Mani,delivery rider,Male,39098.0,2024-09-04,On Leave
100267,6037,Bhavna Sha,Delivery Rider,F,30689.0,2023-09-23,Active
100268,6030,Libni Jaggi,Picker,m,,2025-01-26,Active
100269,6114,Triveni Mitter,Quality Checker,Female,14061.0,2024-10-28,On Leave
100270,6088,Dayita Balasubramanian,delivery rider,F,62713.0,2025-01-30,Active
100271,6135,Ranbir Vala,Inventory Associate,m,35111.0,2023-08-07,active
100272,6068,Advik Pandit,Inventory Associate,Female,36791.0,2024-10-24,Active
100273,6017,Ekiya Nanda,Quality Checker,m,25084.0,2023-04-13,Active
100274,6118,Tarak Merchant,Packer,f,56735.0,05-Aug-2024,Active
100275,6032,Nathan Bhavsar,delivery rider,F,38585.0,2022-11-10,RESIGNED
100276,6134,Ria Bhatia,Inventory Associate,Female,32023.0,2025-01-20,active
100277,6116,Irya Chopra,PICKER,f,63728.0,12/09/2024,Active
100278,6134,Omaja Nazareth,Store Manager,m,36288.0,2024-09-18,Resigned
100279,6001,Samaksh Malhotra,Inventory Associate,M,34089.0,2025-04-21,Active
100280,6062,Vaishnavi Luthra,Inventory Associate,Female,55690.0,30/11/2025,On Leave
100281,6096,Nitara Chauhan,Delivery Rider,f,,2025-10-08,On Leave
100282,6066,Widisha Rao,Quality Checker,F,51925.0,2022-08-25,RESIGNED
100283,6096,Omisha Mammen,Picker,f,18638.0,2026-06-25,On Leave
100284,6107,Ladli Sethi,PICKER,f,15677.0,2026-02-14,On Leave
100285,6107,Ira Master,PICKER,F,42825.0,2025-05-26,active
100286,6052,Ekanta Ahuja,delivery rider,,58554.0,2024-01-16,On Leave
100287,6031,Lajita Sawhney,Picker,F,51422.0,2025-10-11,RESIGNED
100288,6145,Maanav Sarin,PICKER,M,27096.0,2023-10-31,Active
100289,6107,Gaurang Narayanan,Packer,Female,55059.0,2024-12-06,Resigned
100290,6048,Eshana Jayaraman,Inventory Associate,m,34515.0,2023-12-05,Active
100291,6102,Atharv Batta,delivery rider,,33955.0,2026-07-09,On Leave
100292,6066,Charita Yadav,Inventory Associate,F,27599.0,2023-08-28,On Leave
100293,6126,Zansi Varughese,Packer,Male,36397.0,2025-09-22,Resigned
100294,6014,Lopa Shetty,Quality Checker,M,40799.0,2025-07-16,Active
100295,6057,Sneha Anne,PICKER,Male,27720.0,2024-01-23,On Leave
100296,6114,Hardik Rout,Store Manager,,42424.0,03/05/2025,RESIGNED
100297,6128,Mitesh Guha,Packer,M,50769.0,17/02/2024,active
100298,6076,Neelima Sarraf,Store Manager,m,23553.0,2026-06-28,Resigned
100299,6120,George Garde,Picker,F,17297.0,2025-09-13,Active
100300,6109,Falan Mukhopadhyay,Packer,M,,2024-01-30,Active
100301,6150,Chaitaly Oza,Quality Checker,f,24091.0,2024-09-05,Resigned
100302,6039,Naksh Viswanathan,Store Manager,Female,35470.0,2025-11-29,Active
100303,6140,Yashasvi Guha,Picker,F,61725.0,2023-10-16,On Leave
100304,6010,Hredhaan Pandit,Quality Checker,M,27793.0,2024-04-12,Resigned
100305,6075,Nisha Anne,PICKER,,46541.0,2024-11-28,Active
100306,6072,Aayush Modi,Inventory Associate,m,63561.0,10-12-2025,RESIGNED
100307,6149,Alexander Balan,Inventory Associate,M,20597.0,2024-03-21,Active
100308,6077,Amaira Wali,Delivery Rider,F,43466.0,2023-06-02,Active
100309,6029,Rushil Roy,Inventory Associate,M,43817.0,2024-09-08,RESIGNED
100310,6101,Naksh Vasa,PICKER,,47643.0,2025-01-14,active
100311,6107,Ayush Chaudhry,Quality Checker,M,57459.0,2025-09-01,active
100312,6085,Unni Sani,Delivery Rider,f,45473.0,2022-12-08,Active
100313,6030,Advik Naidu,Packer,Female,49457.0,2025-11-09,Active
100314,6138,Irya Majumdar,Delivery Rider,m,26957.0,2023-03-17,Active
100315,6137,Hardik Bhatnagar,Store Manager,,17516.0,2023-04-23,Resigned
100316,6059,Lekha Bahri,Picker,F,31312.0,2024-01-10,Resigned
100317,6029,Caleb Sarraf,Inventory Associate,m,19526.0,2022-11-06,Active
100318,6132,Zaid Kapoor,Delivery Rider,,36104.0,06/11/2022,RESIGNED
100319,6088,Divya Ahuja,Picker,Female,,2022-10-22,On Leave
100320,6009,Chavvi Sahota,Picker,F,47515.0,03-24-2026,RESIGNED
100321,6053,Ekansh Kibe,Store Manager,F,60438.0,2025-01-15,RESIGNED
100322,6010,Odika More,PICKER,m,18524.0,2025-05-04,Active
100323,6013,Anthony Kohli,Quality Checker,Female,61018.0,2024-03-23,RESIGNED
100324,6128,Ishita Raghavan,Packer,Male,33855.0,2022-12-24,RESIGNED
100325,6043,Meghana Patil,delivery rider,Female,47616.0,2023-05-18,Resigned
100326,6030,Gautami Rau,Picker,Male,29210.0,2023-02-02,Resigned
100327,6127,Pahal Panchal,Delivery Rider,Female,39874.0,2025-03-27,Active
100328,6104,Rayaan Sibal,Picker,F,36255.0,2024-11-05,On Leave
100329,6002,Rajata Banerjee,Inventory Associate,Female,21248.0,2023-10-07,On Leave
100330,6077,Harita Dugal,PICKER,F,28002.0,2023-09-30,On Leave
100331,6009,George Hegde,Inventory Associate,Male,31760.0,2023-08-07,On Leave
100332,6138,Saanvi Sibal,Store Manager,M,,2023-09-16,Active
100333,6070,Nathaniel Pillai,Quality Checker,F,28693.0,2025-12-22,On Leave
100334,6128,Krisha Joshi,Quality Checker,m,53753.0,2024-01-16,Active
100335,6135,Yamini Jayaraman,Delivery Rider,M,20798.0,2023-10-27,RESIGNED
100336,6065,Karan Lal,Quality Checker,f,50220.0,2023-07-17,active
100337,6035,Jhalak Warrior,Inventory Associate,f,47703.0,2025-01-05,Active
100338,6079,Jeremiah Das,delivery rider,m,17911.0,2023-08-13,Active
100339,6015,Anamika Rajan,Picker,m,34391.0,2025-05-05,active
100340,6118,Deepa Aurora,Delivery Rider,Male,14463.0,2022-09-29,Active
100341,7003,Peter Kata,Delivery Rider,Female,52638.0,2024-03-10,RESIGNED
100342,6075,Ekansh Pathak,Delivery Rider,Female,40710.0,2023-12-01,active
100343,6098,Reyansh Bhatti,PICKER,f,32184.0,2025-11-07,On Leave
100344,6137,Upkaar Mani,Quality Checker,F,18040.0,2025-07-04,Active
100345,6080,Barkha Parekh,Delivery Rider,m,39098.0,2023-02-19,active
100346,6070,Kevin Malhotra,Inventory Associate,Female,35030.0,2024-03-30,active
100347,6093,Indali Sachar,delivery rider,Male,44969.0,2023-05-03,Resigned
100348,6129,Yuvraj Rattan,delivery rider,f,,2022-09-24,Resigned
100349,6144,Qabil Manne,delivery rider,M,37772.0,2024-01-15,RESIGNED
100350,6032,Banjeet Ravel,Inventory Associate,Female,16708.0,2023-02-03,Active
100351,6093,Raagini Hora,Inventory Associate,F,49949.0,2022-10-16,RESIGNED
100352,6029,Lajita Baral,Inventory Associate,F,61377.0,2025-08-28,RESIGNED
100353,6101,Vedant Tank,Quality Checker,Female,36074.0,02/11/2024,Resigned
100354,6106,Radhika Palla,Inventory Associate,F,58689.0,2025-07-01,Resigned
100355,6147,Bhavini Basak,Store Manager,m,28020.0,2026-05-17,RESIGNED
