employee_id,store_id,employee_name,role,gender,monthly_salary_inr,joining_date,employment_status,clean_store_id,salary_status,work_status
100063,6125,Rajata Venkataraman,Delivery Rider,Male,57205.0,2025-10-14,Resigned,6125,Normal,Resigned
100064,6015,Upasna Bava,Picker,Male,23201.0,2025-09-21,Resigned,6015,Normal,Resigned
100065,6003,Gavin Mani,Store Manager,Male,30385.0,2024-10-12,Resigned,6003,Normal,Resigned
100066,6048,Saksham Mani,Picker,Male,27666.0,2023-04-24,Active,6048,Normal,Currently Working
100067,6024,Aayush Pall,Inventory Associate,Female,27965.0,2025-09-05,On Leave,6024,Normal,On Leave
100068,6030,Qarin Talwar,Picker,Male,23131.0,2024-08-05,On Leave,6030,Normal,On Leave
100069,6037,Nathan Mander,Picker,Female,49359.0,2024-12-31,Active,6037,Normal,Currently Working
100070,6120,Wishi Gandhi,Picker,Female,44524.0,2025-11-22,Active,6120,Normal,Currently Working
100071,6047,Vritti Cheema,Quality Checker,Female,15347.0,2023-01-26,Active,6047,Normal,Currently Working
100072,6131,Girish Rattan,Picker,Female,38424.5,2025-02-21,Active,6131,Normal,Currently Working
100073,6087,Pahal Bakshi,Picker,Female,45099.0,2026-05-06,Active,6087,Normal,Currently Working
100074,6112,Adya Sangha,Quality Checker,Female,17455.0,2024-02-13,Resigned,6112,Normal,Resigned
100075,6104,Ladli Kaur,Quality Checker,Male,47189.0,2026-03-27,On Leave,6104,Normal,On Leave
100076,6085,Bahadurjit Pall,Store Manager,Male,22360.0,2026-05-29,Resigned,6085,Normal,Resigned
100077,6103,Shravya Naik,Delivery Rider,Male,40114.0,2024-12-15,Resigned,6103,Normal,Resigned
100078,6016,Aarini Kashyap,Delivery Rider,Male,58151.0,2023-04-23,Active,6016,Normal,Currently Working
100079,6055,Wazir Tripathi,Delivery Rider,Female,54978.0,2023-02-19,Resigned,6055,Normal,Resigned
100080,6108,Mohammed Dugal,Picker,Unknown,23089.0,2023-05-25,Active,6108,Normal,Currently Working
100081,6048,Ijaya Dyal,Delivery Rider,Male,42224.0,2026-07-13,Active,6048,Normal,Currently Working
100082,6146,Aarna Chaudry,Delivery Rider,Male,41595.0,2023-07-30,On Leave,6146,Normal,On Leave
100083,6004,Rohan Rajagopalan,Delivery Rider,Male,57214.0,2023-04-16,On Leave,6004,Normal,On Leave
100084,6027,Chasmum Mishra,Picker,Female,23946.0,2023-03-27,Active,6027,Normal,Currently Working
100085,6032,Ikbal Chhabra,Picker,Female,22452.0,2024-05-15,Resigned,6032,Normal,Resigned
100086,6116,Ucchal Bandi,Packer,Male,62971.0,2023-10-03,Active,6116,Normal,Currently Working
100087,6076,Tristan Tella,Picker,Female,30649.0,2022-09-06,Active,6076,Normal,Currently Working
100088,6004,Ubika Bains,Picker,Female,61804.0,2026-07-22,Resigned,6004,Normal,Resigned
100089,6016,Abdul Kibe,Quality Checker,Male,61694.0,2023-03-14,Active,6016,Normal,Currently Working
100090,6093,Oviya Karnik,Packer,Female,45258.0,2026-04-06,Active,6093,Normal,Currently Working
100091,6086,Pratyush Dash,Inventory Associate,Unknown,56660.0,2025-04-20,Active,6086,Normal,Currently Working
100092,6004,Abha Chaudhari,Packer,Male,52316.0,2024-06-12,On Leave,6004,Normal,On Leave
100093,6097,Mugdha Dugar,Store Manager,Female,14110.0,2026-03-18,Active,6097,Normal,Currently Working
100094,6011,Vasudha Shah,Inventory Associate,Female,51480.0,2023-08-19,Resigned,6011,Normal,Resigned
100095,6128,Zarna Goswami,Quality Checker,Male,50285.0,2022-09-16,Resigned,6128,Normal,Resigned
100096,6080,Advaith Ramachandran,Delivery Rider,Female,60421.0,2026-03-17,Resigned,6080,Normal,Resigned
100097,6099,Balvan Krishnamurthy,Picker,Male,37272.0,2025-12-16,Resigned,6099,Normal,Resigned
100098,6067,Ryan Venkataraman,Quality Checker,Female,27229.0,2024-10-20,Resigned,6067,Normal,Resigned
100099,6093,Samarth Soni,Quality Checker,Female,23765.0,2024-01-09,On Leave,6093,Normal,On Leave
100100,6028,Hemal Roy,Quality Checker,Female,19356.0,2024-09-05,Active,6028,Normal,Currently Working
100101,6133,Shivansh Gour,Delivery Rider,Unknown,51058.0,2025-08-07,Active,6133,Normal,Currently Working
100102,6110,Ishani Bhalla,Picker,Female,53893.0,2024-03-14,Active,6110,Normal,Currently Working
100103,6052,Mugdha Bhat,Packer,Female,40162.0,2023-08-22,Active,6052,Normal,Currently Working
100104,6125,Osha Pandey,Picker,Male,21858.0,2022-09-07,Resigned,6125,Normal,Resigned
100105,6023,Udarsh Mitter,Delivery Rider,Female,24467.0,2024-12-13,Active,6023,Normal,Currently Working
100106,6045,Manya Shere,Delivery Rider,Male,17884.0,2025-08-06,Resigned,6045,Normal,Resigned
100107,6067,Ekapad Hans,Picker,Male,34819.0,2023-06-24,Active,6067,Normal,Currently Working
100108,7004,Madhav Pandit,Picker,Female,35228.0,2024-07-04,Active,6005,Normal,Currently Working
100109,6098,Upadhriti Menon,Packer,Female,23381.0,2025-04-18,On Leave,6098,Normal,On Leave
100110,6010,Upasna Pant,Packer,Unknown,54544.0,2025-09-02,Active,6010,Normal,Currently Working
100111,6025,Amara Puri,Delivery Rider,Male,43644.0,2025-10-06,Active,6025,Normal,Currently Working
100112,6030,Quincy Subramaniam,Quality Checker,Female,62238.0,2025-05-19,Resigned,6030,Normal,Resigned
100113,6113,Ishita Konda,Packer,Male,30171.0,2022-08-22,Resigned,6113,Normal,Resigned
100114,6086,Varsha Sundaram,Packer,Male,34844.0,2025-04-01,Active,6086,Normal,Currently Working
100115,6015,Janani Dua,Store Manager,Male,32758.0,2024-05-06,Active,6015,Normal,Currently Working
100116,6067,Dakshesh Chada,Store Manager,Female,32967.0,2026-05-06,Active,6067,Normal,Currently Working
100117,6005,Logan Wali,Picker,Male,23184.0,2025-12-10,Resigned,6005,Normal,Resigned
100118,6048,Advay Kadakia,Quality Checker,Unknown,40800.0,2025-12-15,Active,6048,Normal,Currently Working
100119,6134,Zashil Chaudhuri,Store Manager,Female,53364.0,2026-06-09,Resigned,6134,Normal,Resigned
100120,6045,Quincy Seth,Store Manager,Female,60383.0,2024-12-11,Active,6045,Normal,Currently Working
100121,6017,Sathvik Rau,Delivery Rider,Female,47977.0,2024-01-07,Resigned,6017,Normal,Resigned
100122,6127,Gautam Mishra,Picker,Male,64002.0,2025-10-18,Active,6127,Normal,Currently Working
100123,6048,Farhan Sarna,Quality Checker,Male,38324.0,2023-06-03,Active,6048,Normal,Currently Working
100124,6115,Jagat Lalla,Picker,Male,30038.0,2025-04-25,Active,6115,Normal,Currently Working
100125,6148,Urvashi Tailor,Delivery Rider,Male,61903.0,2024-04-22,Resigned,6148,Normal,Resigned
100126,6035,Unni Dhawan,Delivery Rider,Female,28660.0,2024-11-10,Active,6035,Normal,Currently Working
100127,6008,Wishi Gala,Delivery Rider,Male,62414.0,2025-06-07,Resigned,6008,Normal,Resigned
100128,6114,Naveen Nagi,Picker,Male,60995.0,2024-10-15,On Leave,6114,Normal,On Leave
100129,6150,Chaman Shroff,Inventory Associate,Male,40584.0,2024-07-02,Active,6150,Normal,Currently Working
100130,6038,Faqid Gole,Picker,Female,15212.0,2024-02-17,On Leave,6038,Normal,On Leave
100131,6135,Ansh Bath,Delivery Rider,Female,17405.0,2025-03-06,Active,6135,Normal,Currently Working
100132,6112,Girindra Uppal,Quality Checker,Female,17509.0,2025-05-12,Active,6112,Normal,Currently Working
100133,6003,Bahadurjit Kala,Quality Checker,Male,18539.0,2024-07-26,Active,6003,Normal,Currently Working
100134,6058,Hamsini Chandra,Packer,Female,64893.0,2025-07-03,Active,6058,Normal,Currently Working
100135,6009,Harita Som,Inventory Associate,Female,55172.0,2026-01-28,Resigned,6009,Normal,Resigned
100136,6065,Bhanumati Saran,Picker,Unknown,29509.0,2025-09-29,Active,6065,Normal,Currently Working
100137,6043,Charles Mann,Picker,Male,47671.0,2023-12-31,On Leave,6043,Normal,On Leave
100138,6131,Netra Nath,Packer,Male,51836.0,2023-10-20,Active,6131,Normal,Currently Working
100139,6074,Yashawini Pai,Picker,Male,28523.0,2024-08-23,Active,6074,Normal,Currently Working
100140,6118,Jacob Narayanan,Inventory Associate,Male,40106.5,2026-07-13,Active,6118,Normal,Currently Working
100141,6140,Joshua Chahal,Delivery Rider,Male,37111.0,2023-05-26,Active,6140,Normal,Currently Working
100142,6084,Mohini Ravi,Picker,Male,28165.0,2025-10-07,Active,6084,Normal,Currently Working
100143,6018,Mohini Mital,Quality Checker,Female,47881.0,2024-10-23,Active,6018,Normal,Currently Working
100144,6134,Ranveer Soman,Store Manager,Female,24126.0,2023-01-24,Active,6134,Normal,Currently Working
100145,6052,Xiti Puri,Inventory Associate,Male,62711.0,2025-01-24,Active,6052,Normal,Currently Working
100146,6033,Simon Baral,Delivery Rider,Unknown,64179.0,2025-02-04,Resigned,6033,Normal,Resigned
100147,6107,Owen Chaudhuri,Inventory Associate,Male,38874.0,2025-04-19,Active,6107,Normal,Currently Working
100148,6075,Oviya Chaudhuri,Quality Checker,Female,53021.0,2025-04-14,Resigned,6075,Normal,Resigned
100149,6098,Jyoti Dewan,Picker,Male,33925.0,2026-04-15,On Leave,6098,Normal,On Leave
100150,6060,Chasmum Goyal,Picker,Male,53851.0,2025-10-11,Active,6060,Normal,Currently Working
100151,6003,Anmol Sankar,Delivery Rider,Male,46593.0,2024-04-26,Active,6003,Normal,Currently Working
100152,6112,Widisha Vig,Delivery Rider,Female,16668.0,2024-11-23,Active,6112,Normal,Currently Working
100153,6018,Oviya Ravel,Store Manager,Male,46827.0,2022-10-15,Resigned,6018,Normal,Resigned
100154,6049,Lila Dugal,Delivery Rider,Female,64287.0,2024-06-01,Active,6049,Normal,Currently Working
100155,6024,Harsh Butala,Packer,Male,18920.0,2024-07-13,Active,6024,Normal,Currently Working
100156,6076,Max Aurora,Quality Checker,Male,41583.0,2025-03-17,Resigned,6076,Normal,Resigned
100157,6054,Jairaj Chakrabarti,Store Manager,Female,55294.0,2024-05-03,Active,6054,Normal,Currently Working
100158,6003,Kai Sodhi,Delivery Rider,Male,39424.5,2023-07-03,Resigned,6003,Normal,Resigned
100159,7001,Shravya Grover,Delivery Rider,Unknown,25481.0,2022-09-13,Active,6002,Normal,Currently Working
100160,6137,Maanav Chad,Packer,Male,53435.0,2026-04-28,Active,6137,Normal,Currently Working
100161,6020,Triveni Kumar,Packer,Male,44639.0,2023-10-21,Active,6020,Normal,Currently Working
100162,6004,Azad Apte,Quality Checker,Female,37189.0,2026-04-14,Resigned,6004,Normal,Resigned
100163,6017,Lopa Mukhopadhyay,Quality Checker,Female,39702.5,2022-11-15,On Leave,6017,Normal,On Leave
100164,6012,Vidhi Bhasin,Picker,Male,30340.0,2023-11-18,Active,6012,Normal,Currently Working
100165,6117,Upma Ganesan,Inventory Associate,Female,46476.0,2023-11-24,Active,6117,Normal,Currently Working
100166,6057,Janani Gade,Delivery Rider,Male,60646.0,2023-03-18,Active,6057,Normal,Currently Working
100167,6045,Vansha Rajan,Packer,Male,14500.0,2025-02-24,Resigned,6045,Normal,Resigned
100168,6030,Anita Nath,Quality Checker,Male,36012.0,2025-09-28,On Leave,6030,Normal,On Leave
100169,6142,Gaurangi Aurora,Store Manager,Female,32585.0,2023-10-20,Active,6142,Normal,Currently Working
100170,6007,Priya Koshy,Quality Checker,Female,22510.0,2025-12-15,Resigned,6007,Normal,Resigned
100171,6143,Vivaan Seth,Picker,Female,29740.0,2024-02-20,Active,6143,Normal,Currently Working
100172,6097,Ekanta Lall,Store Manager,Male,47084.0,2023-10-06,Active,6097,Normal,Currently Working
100173,6067,Brijesh Mani,Picker,Male,49039.0,2023-09-14,Active,6067,Normal,Currently Working
100174,6032,Anusha Tata,Picker,Male,62230.0,2025-12-18,Active,6032,Normal,Currently Working
100175,6038,Vedhika Raj,Inventory Associate,Male,19638.0,2024-01-07,Active,6038,Normal,Currently Working
100176,6049,Dayamai Bhandari,Picker,Male,37690.0,2023-06-07,Active,6049,Normal,Currently Working
100177,6080,Samuel Kumar,Picker,Female,60969.0,2025-05-05,Resigned,6080,Normal,Resigned
100178,6034,Lekha Sharaf,Inventory Associate,Unknown,58539.0,2024-12-22,On Leave,6034,Normal,On Leave
100179,6119,Dev Kaul,Store Manager,Female,55210.0,2024-10-16,Active,6119,Normal,Currently Working
100180,6057,Ekani Sood,Delivery Rider,Unknown,24617.0,2024-03-22,Active,6057,Normal,Currently Working
100181,6011,Ranbir Kala,Inventory Associate,Female,25774.0,2024-08-27,On Leave,6011,Normal,On Leave
100182,6066,Bimala Patil,Delivery Rider,Female,36874.0,2023-05-26,Active,6066,Normal,Currently Working
100183,6013,Neha Varughese,Store Manager,Female,34876.0,2024-12-10,Active,6013,Normal,Currently Working
100184,6107,Chaitanya Tak,Delivery Rider,Female,28470.0,2026-01-22,On Leave,6107,Normal,On Leave
100185,6129,Kamya Sheth,Picker,Unknown,59760.0,2024-02-16,Resigned,6129,Normal,Resigned
100186,6126,Diya Balasubramanian,Store Manager,Male,50642.0,2025-10-12,Resigned,6126,Normal,Resigned
100187,6061,Girindra Bandi,Inventory Associate,Female,25013.0,2024-01-04,Active,6061,Normal,Currently Working
100188,6080,Tanay Lal,Packer,Female,45879.0,2023-06-13,Active,6080,Normal,Currently Working
100189,6132,Pooja Chatterjee,Picker,Female,37033.0,2026-02-05,Resigned,6132,Normal,Resigned
100190,6062,Aachal Barad,Quality Checker,Female,49930.0,2026-06-01,Active,6062,Normal,Currently Working
100191,6040,Kritika Chacko,Picker,Female,21502.0,2023-12-27,Active,6040,Normal,Currently Working
100192,6016,Kala Shanker,Inventory Associate,Male,59981.0,2022-09-28,Active,6016,Normal,Currently Working
100193,6114,Mekhala Dar,Picker,Male,25016.0,2024-07-30,Resigned,6114,Normal,Resigned
100194,6022,Aarini Nagar,Quality Checker,Female,21130.0,2025-06-16,On Leave,6022,Normal,On Leave
100195,6140,Yashawini Ramaswamy,Quality Checker,Male,19961.0,2024-11-20,Active,6140,Normal,Currently Working
100196,6065,Kamala Keer,Store Manager,Male,38812.0,2023-05-12,Active,6065,Normal,Currently Working
100197,6095,Orinder Barad,Packer,Female,58700.0,2026-08-06,Resigned,6095,Normal,Resigned
100198,6084,Daniel Bala,Delivery Rider,Female,37346.0,2026-05-25,Resigned,6084,Normal,Resigned
100199,6065,Aarna Varghese,Store Manager,Unknown,51150.0,2025-12-24,Active,6065,Normal,Currently Working
100200,6013,Daksh Chaudhuri,Store Manager,Female,61891.0,2025-06-20,Resigned,6013,Normal,Resigned
100201,6021,Rushil Misra,Packer,Female,23063.0,2023-03-18,Active,6021,Normal,Currently Working
100202,6113,Henry Sinha,Picker,Female,38424.5,2024-12-27,Resigned,6113,Normal,Resigned
100203,6109,Madhavi Dash,Packer,Unknown,17624.0,2023-12-05,Active,6109,Normal,Currently Working
100204,6113,Om Sastry,Delivery Rider,Female,25552.0,2024-02-17,Active,6113,Normal,Currently Working
100205,6145,Advik Sidhu,Quality Checker,Male,19573.0,2023-08-02,On Leave,6145,Normal,On Leave
100206,6040,Balendra Dugar,Delivery Rider,Male,17932.0,2025-07-01,Active,6040,Normal,Currently Working
100207,6145,Faras Prakash,Delivery Rider,Male,56425.0,2026-05-05,Resigned,6145,Normal,Resigned
100208,6008,Sanya Chatterjee,Store Manager,Female,43317.0,2026-03-09,Resigned,6008,Normal,Resigned
100209,6107,Anthony Borde,Quality Checker,Male,42925.0,2026-02-05,Active,6107,Normal,Currently Working
100210,6029,Ekantika Kaur,Store Manager,Male,26290.0,2024-06-09,On Leave,6029,Normal,On Leave
100211,6142,Luke Narula,Picker,Female,59660.0,2024-07-16,Resigned,6142,Normal,Resigned
100212,6021,Pranit Seth,Delivery Rider,Unknown,42804.0,2023-07-08,Resigned,6021,Normal,Resigned
100213,6132,Reva Dixit,Picker,Female,39687.0,2024-11-04,Active,6132,Normal,Currently Working
100214,6122,Yatin Dugal,Picker,Female,54552.0,2023-09-12,Active,6122,Normal,Currently Working
100215,6004,Gaurika Ganesh,Store Manager,Female,60361.0,2022-09-25,Active,6004,Normal,Currently Working
100216,6052,Eesha Shan,Picker,Female,25010.0,2023-09-03,Resigned,6052,Normal,Resigned
100217,6003,Mitesh Varghese,Inventory Associate,Male,47631.0,2026-03-30,Active,6003,Normal,Currently Working
100218,6012,Vansha Mangat,Quality Checker,Male,35454.0,2022-10-11,Active,6012,Normal,Currently Working
100219,6050,Janya Sankaran,Picker,Male,52100.0,2023-02-09,On Leave,6050,Normal,On Leave
100220,6019,Wazir Chatterjee,Inventory Associate,Female,33007.0,2026-08-05,Resigned,6019,Normal,Resigned
100221,7002,Nicholas Bhandari,Inventory Associate,Male,63901.0,2024-03-11,Active,6003,Normal,Currently Working
100222,6088,Maanas Babu,Packer,Female,16073.0,2025-12-17,Resigned,6088,Normal,Resigned
100223,6101,Yasti Dey,Picker,Female,43398.0,2024-05-25,Resigned,6101,Normal,Resigned
100224,6020,Quincy Parsa,Quality Checker,Male,34398.0,2024-05-27,Active,6020,Normal,Currently Working
100225,6044,Tejas Malhotra,Quality Checker,Female,51817.0,2024-05-15,Active,6044,Normal,Currently Working
100226,6086,Pranit Vig,Picker,Male,30301.0,2024-11-30,Active,6086,Normal,Currently Working
100227,6038,Ronith Buch,Packer,Male,18160.0,2025-09-17,Resigned,6038,Normal,Resigned
100228,6136,Anusha Gill,Packer,Unknown,50741.0,2025-12-12,Resigned,6136,Normal,Resigned
100229,6147,Darika Jain,Picker,Male,29600.0,2023-06-16,Active,6147,Normal,Currently Working
100230,6078,Christopher Vasa,Quality Checker,Female,55629.0,2022-09-02,Active,6078,Normal,Currently Working
100231,6086,Baghyawati Tailor,Delivery Rider,Female,35181.0,2025-11-15,Resigned,6086,Normal,Resigned
100232,6063,Vansha Deol,Store Manager,Male,38812.0,2022-12-28,On Leave,6063,Normal,On Leave
100233,6115,Yuvraj Grewal,Delivery Rider,Male,25070.0,2026-02-13,Active,6115,Normal,Currently Working
100234,6142,Balhaar Gade,Quality Checker,Male,52230.0,2024-11-18,Active,6142,Normal,Currently Working
100235,6091,Ishani Venkatesh,Picker,Male,59238.0,2025-06-09,Active,6091,Normal,Currently Working
100236,6082,Jai Parikh,Packer,Male,40162.0,2026-05-11,Active,6082,Normal,Currently Working
100237,6056,Lakshmi Bhat,Delivery Rider,Female,53511.0,2025-06-28,Active,6056,Normal,Currently Working
100238,6062,Warda Sekhon,Delivery Rider,Female,19197.0,2023-10-18,Resigned,6062,Normal,Resigned
100239,6035,Ansh Kohli,Delivery Rider,Female,56105.0,2024-09-06,Active,6035,Normal,Currently Working
100240,6083,Qabil Ganesh,Quality Checker,Unknown,45871.0,2026-07-02,Active,6083,Normal,Currently Working
100241,6015,Ayushman Bahl,Delivery Rider,Male,54159.0,2023-01-16,Resigned,6015,Normal,Resigned
100242,6066,Advika Badami,Picker,Unknown,34767.0,2023-01-06,Active,6066,Normal,Currently Working
100243,6085,William Sawhney,Packer,Unknown,27794.0,2025-12-24,Active,6085,Normal,Currently Working
100244,6093,Praneel Bath,Delivery Rider,Male,52567.0,2023-01-16,Active,6093,Normal,Currently Working
100245,6067,Wakeeta Tella,Picker,Male,34267.0,2023-09-21,Active,6067,Normal,Currently Working
100246,6144,Jairaj Dara,Inventory Associate,Male,31952.0,2025-09-04,Active,6144,Normal,Currently Working
100247,6093,Utkarsh Karan,Packer,Female,63583.0,2024-04-02,Resigned,6093,Normal,Resigned
100248,6032,Mekhala Gala,Delivery Rider,Male,50388.0,2023-03-22,Resigned,6032,Normal,Resigned
100249,6039,Lopa Salvi,Packer,Female,24622.0,2026-06-04,Active,6039,Normal,Currently Working
100250,6114,Meghana Ben,Picker,Female,36559.0,2025-01-07,Active,6114,Normal,Currently Working
100251,6007,Nandini Khosla,Picker,Female,18288.0,2025-09-27,Active,6007,Normal,Currently Working
100252,6016,Ekani Rattan,Store Manager,Male,38613.0,2025-12-26,Active,6016,Normal,Currently Working
100253,6065,Ekta Varughese,Delivery Rider,Male,29848.0,2026-01-08,Resigned,6065,Normal,Resigned
100254,6072,Zaid Sami,Inventory Associate,Female,51324.0,2023-03-21,Resigned,6072,Normal,Resigned
100255,6035,Janya Chopra,Inventory Associate,Male,14257.0,2025-04-13,Active,6035,Normal,Currently Working
100256,6116,Ekta Sant,Store Manager,Unknown,27750.0,2024-10-02,Active,6116,Normal,Currently Working
100257,6047,Umang Dewan,Delivery Rider,Female,33503.0,2023-06-08,Active,6047,Normal,Currently Working
100258,6035,Sudiksha Batra,Inventory Associate,Female,37047.0,2024-04-24,Active,6035,Normal,Currently Working
100259,6087,Bakhshi Lata,Delivery Rider,Male,16157.0,2025-11-13,Active,6087,Normal,Currently Working
100260,6010,Balendra Chaudhry,Packer,Male,51673.0,2026-04-21,Active,6010,Normal,Currently Working
100261,6017,Radha Khalsa,Picker,Male,22900.0,2023-08-20,Active,6017,Normal,Currently Working
100262,6038,Isaiah Mody,Picker,Male,46523.0,2026-08-06,Resigned,6038,Normal,Resigned
100263,6019,Jai Bhasin,Inventory Associate,Female,31343.0,2024-01-08,Active,6019,Normal,Currently Working
